Job Title,Company,Location,Salary,Salary (Numeric)
Python Automation with Squish,L&T Technology Services Ltd,Bengaluru/Bangalore,Not disclosed,
Python Automation with Squish,L&T Technology Services Ltd,Bengaluru/Bangalore,Not disclosed,
Python Developer,Euclid Innovations,Hyderabad,Not disclosed,
Python Developer,Euclid Innovations,Hyderabad,Not disclosed,
C++ Python Developer,Capgemini,Bengaluru/Bangalore,Not disclosed,
C++ Python Developer,Capgemini,Bengaluru/Bangalore,Not disclosed,
Python Developer,Maveric Systems Ltd,Gurgaon/Gurugram,Not disclosed,
Python Developer,Maveric Systems Ltd,Gurgaon/Gurugram,Not disclosed,
Python Developer,Cad Classes Designing Solution,"Jattiwara, Meerut","₹25,000 - ₹30,000 monthly",27500.0
Python Developer,Cad Classes Designing Solution,"Jattiwara, Meerut","₹25,000 - ₹30,000 monthly",27500.0
Python Developer,Bnbrun Solutions Llp,"Makarba, Ahmedabad","₹12,000 - ₹63,000 monthly",37500.0
Python Developer,Bnbrun Solutions Llp,"Makarba, Ahmedabad","₹12,000 - ₹63,000 monthly",37500.0
Python Developer,Realway Aura,"Jodhpur Village, Ahmedabad","₹30,000 - ₹50,000 monthly",40000.0
Python Developer,Realway Aura,"Jodhpur Village, Ahmedabad","₹30,000 - ₹50,000 monthly",40000.0
Python Engineer,Experion Technologies India Pvt Ltd,Thiruvananthapuram,Not disclosed,
Python Engineer,Experion Technologies India Pvt Ltd,Thiruvananthapuram,Not disclosed,
Python Developer,Innodata India,Noida,Not disclosed,
Python Developer,Innodata India,Noida,Not disclosed,
Python Developer,Mahardhi Technologies,"Mota Varachha, Surat","₹30,000 - ₹90,000 monthly",60000.0
Python Developer,Mahardhi Technologies,"Mota Varachha, Surat","₹30,000 - ₹90,000 monthly",60000.0
Python Developer,ATS Global Tech,"Vaishali Nagar, Jaipur","₹10,000 - ₹20,000 monthly",15000.0
Python Developer,ATS Global Tech,"Vaishali Nagar, Jaipur","₹10,000 - ₹20,000 monthly",15000.0
Python Developer,Mcm Bpo Private Limited,"Jogeshwari West, Mumbai/Bombay","₹10,000 - ₹52,000 monthly*",31000.0
Python Developer,Mcm Bpo Private Limited,"Jogeshwari West, Mumbai/Bombay","₹10,000 - ₹52,000 monthly*",31000.0
Python and React Lead,Infosys,Bengaluru/Bangalore,Not disclosed,
Python and React Lead,Infosys,Bengaluru/Bangalore,Not disclosed,
Python Developer,Persistent Systems Ltd,Hyderabad,Not disclosed,
Python Developer,Persistent Systems Ltd,Hyderabad,Not disclosed,
Python Engineer,Experion Technologies India Pvt Ltd,Kochi,Not disclosed,
Python Engineer,Experion Technologies India Pvt Ltd,Kochi,Not disclosed,
Senior Python Developer,TOPS Infosolutions Pvt. Ltd.,Ahmedabad,Not disclosed,
Senior Python Developer,TOPS Infosolutions Pvt. Ltd.,Ahmedabad,Not disclosed,
Python Developer Intern,Cadin360,"Nawada, New Delhi","₹8,000 - ₹10,000 monthly",9000.0
Python Developer Intern,Cadin360,"Nawada, New Delhi","₹8,000 - ₹10,000 monthly",9000.0
Software Engineer (AI),Best Infosystems Limited,"Barra, Kanpur Region","₹8,000 - ₹25,000 monthly",16500.0
Software Engineer (AI),Best Infosystems Limited,"Barra, Kanpur Region","₹8,000 - ₹25,000 monthly",16500.0
Python Developer,Adroit Innovative Solutions Pvt. Ltd.,Hyderabad,Not disclosed,
Python Developer,Adroit Innovative Solutions Pvt. Ltd.,Hyderabad,Not disclosed,
Software Engineer,Bristol-Myers Squibb India Pvt Ltd,Hyderabad,Not disclosed,
Software Engineer,Bristol-Myers Squibb India Pvt Ltd,Hyderabad,Not disclosed,
Principal Software Engineer,Emerson Electric Company India Pvt Ltd,Bengaluru/Bangalore,Not disclosed,
Principal Software Engineer,Emerson Electric Company India Pvt Ltd,Bengaluru/Bangalore,Not disclosed,
Python Developer with Kubernates,Coforge,Hyderabad,Not disclosed,
Python Developer with Kubernates,Coforge,Hyderabad,Not disclosed,
Software Engineer,Google India Pvt Ltd,Bengaluru/Bangalore,Not disclosed,
Software Engineer,Google India Pvt Ltd,Bengaluru/Bangalore,Not disclosed,
AI ML Senior Engineer,Qualcomm India Private Limited,Bengaluru/Bangalore,Not disclosed,
AI ML Senior Engineer,Qualcomm India Private Limited,Bengaluru/Bangalore,Not disclosed,
Python & Machine Learning Developer,EXL SERVICES,Noida,Not disclosed,
Python & Machine Learning Developer,EXL SERVICES,Noida,Not disclosed,
Software Engineer,Google India Pvt Ltd,Hyderabad,Not disclosed,
Software Engineer,Google India Pvt Ltd,Hyderabad,Not disclosed,
AI ML Engineer,Qualcomm India Private Limited,Bengaluru/Bangalore,Not disclosed,
AI ML Engineer,Qualcomm India Private Limited,Bengaluru/Bangalore,Not disclosed,
Python Backend Developer,Kpmg India Services Llp,Gurgaon/Gurugram,Not disclosed,
Python Backend Developer,Kpmg India Services Llp,Gurgaon/Gurugram,Not disclosed,
